Name	Locale	City	Outdoor	Dog Friendly?	Rating	Want To Go	Good For	Comment
Pacific Catch	Pruneyard	Campbell	0	0	2	0		
Ristorante Don Giovanni	Downtown	Mountain View	0	0	2	0		
Cafe El Palomar	Harbor	Santa Cruz	0	0	2	0	View	"Inside food is very good, outside so-so"
Jonny's Harborside	Harbor	Santa Cruz	0	0	2	0	View	
The Pastaria & Market	Downtown	Los Gatos	0	0	2	0		
Linda's Seabreeze Cafe	Harbor	Santa Cruz	0	0	2	0		
Assembly	Downtown	Santa Cruz	1	1	2	0		
Aqui Cal-Mex	Downtown	Campbell	1	1	2	0		
Bistro Beaujolais	Downtown	Carmel	1	1	2	0		
Brown Chicken Brown Cow	Downtown	Campbell	1	1	2	0		
Cafe Lucio	Ocean	Santa Cruz	1	1	2	0	Italian	
California Cafe	Downtown	Los Gatos	1	1	2	0		
Hog's Breath Inn	Downtown	Carmel	1	1	2	0		
Katie Blooms Irish Pub	Downtown	Campbell	1	1	2	0		
Left Bank Brasserie	Santana Row	San Jose	1	1	2	0		
Sino	Santana Row	San Jose	1	1	2	0		
Seabright Brewery	Harbor	Santa Cruz	1	1	2	0		"Burgers are good, everything else so-so"
Naschmarkt Restaurant	Downtown	Campbell	1	1	0	1		
Cafe Mare	Downtown	Santa Cruz	0	0	0	1		
Amber India	Santana Row	San Jose	0	0	0	1		
Blowfish Sushi To Die For	Santana Row	San Jose	0	0	0	1		
KC's	Downtown	Santa Cruz	0	0	0	1	Sports Bar	
Dio Deka	Downtown	Los Gatos	0	0	0	1		
El Jardin Tequila Bar	Santana Row	San Jose	0	0	0	1		
Los Gatos Cafe Downtown	Downtown	Los Gatos	0	0	0	1		
Nick's On Main	Downtown	Los Gatos	0	0	0	1		
The Reef	Downtown	Santa Cruz	0	0	0	1		
Palacio	Downtown	Los Gatos	0	0	0	1		
Pedro's	Downtown	Los Gatos	0	0	0	1		
Thai Spice of Los Gatos	Downtown	Los Gatos	0	0	0	1		
Lark Creek Blue	Santana Row	San Jose	1	1	0	1		
Mr Pickle's Sandwich Shop	Downtown	Los Gatos	1	1	0	1		
Rosie McCann's	Santana Row	San Jose	1	1	0	1		
Cafe Campbell	Downtown	Campbell	1	1	1	0		
Hawgs	Home	Campbell	1	1	1	0		
Bellagio	Downtown	Campbell	0	0	1	0		
Buca di Beppo	Pruneyard	Campbell	0	0	1	0	Group	
Jack's Hamburgers	Downtown	Santa Cruz	0	0	1	0		Food good but dog hostile
Gardino's Ristorante Italiano	Downtown	Los Gatos	0	0	1	0		
Saturn Cafe	Downtown	Santa Cruz	0	0	1	0		
Opa Authentic Greek Cuisine	Downtown	Los Gatos	0	0	1	0		
Pampas Brazilian Steakhouse	Downtown	Palo Alto	0	0	1	0		
Red Robin	Home	Campbell	0	0	1	0		
Scratch	Downtown	Mountain View	0	0	1	0		
La Posta	Harbor	Santa Cruz	0	0	1	0	Fancy	
Tigelleria Organic	Downtown	Campbell	0	0	1	0		
Grasing's Restaurant	Downtown	Carmel	1	1	1	0		
Mo's	Downtown	Campbell	1	1	1	0	Breakfast	
Opa Authentic Greek Cuisine	Downtown	Campbell	1	1	1	0		
Zoccoli's Deli	Downtown	Santa Cruz	1	1	1	0		
Steamer's Grillhouse	Downtown	Los Gatos	1	1	1	0		
Cielo Wine Bar	Santana Row	San Jose	0	0	1	0	Wine	
Crow's Nest Restaurant	Harbor	Santa Cruz	0	0	2	0	View	
Zelda's	Downtown	Capitola	0	0	1	0	View	
Aldo's	Harbor	Santa Cruz	1	1	1	0	View	
